latitude,longitude,month,hour,day,severity,weather_3.0,weather_4.0,weather_5.0,weather_6.0,weather_7.0,weather_10.0,weather_98.0,weather_99.0,road_cond_2,road_cond_3,road_cond_6,road_cond_7,road_cond_8,road_cond_9,road_cond_98,road_cond_99,season_spring,season_summer,season_winter
39.934152,-79.778344,1,,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.574494,-79.787123,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.003758,-76.413652,1,,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.084628,-76.090631,1,,1,3,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.529685,-76.824432,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.244005,-79.487451,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39.929553,-75.401306,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.233165,-79.430275,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.183831,-78.774984,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.109599,-78.721298,1,,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
42.05841,-80.241986,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
41.345934,-79.713064,1,,5,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
39.824525,-79.593715,1,,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
40.491063,-79.87644,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41.311408,-76.192491,1,,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.421047,-80.318133,1,,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
40.628518,-80.017322,1,,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
40.066175,-75.457828,1,,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
